Номенклатура;Вид номенклатуры;Подвид;Файл сертификат;Файл инструкция;Текстовое описание;Файл картинки;Цена Евро;Бренд;Мощность горелки мин., кВт;Мощность горелки макс., кВт;Вид топлива;Цена РУБ;Мощность котла, кВт;Паропроизводительность котла, кг пара в час;Рабочее давление котла, бар;Текстовое описание2;Наличие;Артикул;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки
Горелка ж/т FBR G 2.22 LX TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 4-8 [кг/ч];
Мощность мин. - макс.: 40.8-81.6 [Мкал/ч];
Мощность мин. - макс.: 47.3-94.7 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Уровень Nox:  [мг/кВт-ч];
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 140 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22_LX.jpg;2272;FBR;47,3;94,7;Дизель;;;;;;1;5382;5;10;15;
Горелка ж/т FBR G 2.22 R LX TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 4-8 [кг/ч];
Мощность мин. - макс.: 40.8-81.6 [Мкал/ч];
Мощность мин. - макс.: 47.3-94.7 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Уровень Nox: < 120: 3 класс (EN267) [мг/кВт-ч];
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Мощность подогревателя: 30-110 [Вт];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22_LX.jpg;2392;FBR;47,3;94,7;Дизель;;;;;;1;5365;5;10;15;
Горелка ж/т FBR G 2.22 R LX TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 4-8 [кг/ч];
Мощность мин. - макс.: 40.8-81.6 [Мкал/ч];
Мощность мин. - макс.: 47.3-94.7 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Уровень Nox: < 120: 3 класс (EN267) [мг/кВт-ч];
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Мощность подогревателя: 30-110 [Вт];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22_LX.jpg;2475;FBR;47,3;94,7;Дизель;;;;;;1;5388;5;10;15;
Горелка ж/т FBR G 1 F 2001;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 2.0-5.0 [кг/ч];
Мощность мин. - макс.: 20.4-51 [Мкал/ч];
Мощность мин. - макс.: 23.7-59.2 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 130 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.6 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 57-59 [Дб];
Вес горелки: 13 [кг]";FBR_G_1_2_F.jpg;1320;FBR;23,7;59,2;Дизель;;;;;;1;1088;5;10;15;
Горелка ж/т FBR G 2 F MAXI;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 4-9.8 [кг/ч];
Мощность мин. - макс.: 40.8-99.9 [Мкал/ч];
Мощность мин. - макс.: 47.3-116 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 140 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 13 [кг]";FBR_G_1_2_F.jpg;1362;FBR;47,3;116;Дизель;;;;;;1;1090;5;10;15;
Горелка ж/т FBR G X3 F TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 7-15 [кг/ч];
Мощность мин. - макс.: 71-153 [Мкал/ч];
Мощность мин. - макс.: 83-178 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 220 [Вт];
Двигатель вентилятора: 150 [Вт];
Номинальная потребляемая мощность: 1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 66-66 [Дб];
Вес горелки: 17 [кг]";FBR_G_3_4_F.jpg;1565;FBR;83;178;Дизель;;;;;;1;1592;5;10;15;
Горелка ж/т FBR G X3 F TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 7-15 [кг/ч];
Мощность мин. - макс.: 71-153 [Мкал/ч];
Мощность мин. - макс.: 83-178 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 220 [Вт];
Двигатель вентилятора: 150 [Вт];
Номинальная потребляемая мощность: 1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 66-66 [Дб];
Вес горелки: 17 [кг]";FBR_G_3_4_F.jpg;1647;FBR;83;178;Дизель;;;;;;1;1557;5;10;15;
Горелка ж/т FBR G X4 F TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 10-20 [кг/ч];
Мощность мин. - макс.: 102-204 [Мкал/ч];
Мощность мин. - макс.: 118-236 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 200 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 67-68 [Дб];
Вес горелки: 17 [кг]";FBR_G_3_4_F.jpg;1651;FBR;118;236;Дизель;;;;;;1;1564;5;10;15;
Горелка ж/т FBR G X4 F TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 10-20 [кг/ч];
Мощность мин. - макс.: 102-204 [Мкал/ч];
Мощность мин. - макс.: 118-236 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 200 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 67-68 [Дб];
Вес горелки: 17 [кг]";FBR_G_3_4_F.jpg;1734;FBR;118;236;Дизель;;;;;;1;1565;5;10;15;
Горелка ж/т FBR G X5 F TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 12-30 [кг/ч];
Мощность мин. - макс.: 122-306 [Мкал/ч];
Мощность мин. - макс.: 142-355 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 28 [кг]";FBR_G_5_F.jpg;2293;FBR;142;355;Дизель;;;;;;1;1619;5;10;15;
Горелка ж/т FBR G X5 F TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. - макс.: 12-30 [кг/ч];
Мощность мин. - макс.: 122-306 [Мкал/ч];
Мощность мин. - макс.: 142-355 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 28 [кг]";FBR_G_5_F.jpg;2376;FBR;142;355;Дизель;;;;;;1;1620;5;10;15;
Горелка ж/т FBR G 1.22 2001;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 1.4/2.0-5.0 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 14.3/20.4-51 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 16.6/23.7-59.2 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Номинальная электрическая мощность: 130 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.6 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 57-59 [Дб];
Вес горелки: 10 [кг]";FBR_G_1.22.jpg;1776;FBR;16,6;59,2;Дизель;;;;;;1;1084;5;10;15;
Горелка ж/т FBR G 2.22 MAXI TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 2.2/4-9.8 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 22.4/40.8-99.9 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 26/47.3-116 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Номинальная электрическая мощность: 140 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22.jpg;1817;FBR;26;116;Дизель;;;;;;1;1086;5;10;15;
Горелка ж/т FBR G 2.22 MAXI TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 2.2/4-9.8 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 22.4/40.8-99.9 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 26/47.3-116 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Номинальная электрическая мощность: 140 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22.jpg;1900;FBR;26;116;Дизель;;;;;;1;1087;5;10;15;
Горелка ж/т FBR G 2.22 MAXI TXL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 2.2/4-9.8 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 22.4/40.8-99.9 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 26/47.3-116 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Номинальная электрическая мощность: 140 [Вт];
Двигатель вентилятора: 100 [Вт];
Номинальная потребляемая мощность: 0.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 59-61 [Дб];
Вес горелки: 10 [кг]";FBR_G_2.22.jpg;2024;FBR;26;116;Дизель;;;;;;1;1549;5;10;15;
Горелка ж/т FBR G X3.22 TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 4.8/7-15 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 49/71-153 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 57/83-178 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 220 [Вт];
Двигатель вентилятора: 150 [Вт];
Номинальная потребляемая мощность: 1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 66-66 [Дб];
Вес горелки: 14 [кг]";FBR_G_X3.22_4.22_5.22.jpg;1995;FBR;57;178;Дизель;;;;;;1;1558;5;10;15;
Горелка ж/т FBR G X3.22 TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 4.8/7-15 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 49/71-153 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 57/83-178 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 220 [Вт];
Двигатель вентилятора: 150 [Вт];
Номинальная потребляемая мощность: 1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 66-66 [Дб];
Вес горелки: 14 [кг]";FBR_G_X3.22_4.22_5.22.jpg;2078;FBR;57;178;Дизель;;;;;;1;1559;5;10;15;
Горелка ж/т FBR G X4.22 TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 6.8/10-20 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 69/102-204 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 80/118-236 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 200 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 67-68 [Дб];
Вес горелки: 14 [кг]";FBR_G_X3.22_4.22_5.22.jpg;2144;FBR;80;236;Дизель;;;;;;1;1566;5;10;15;
Горелка ж/т FBR G X4.22 TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 6.8/10-20 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 69/102-204 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 80/118-236 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 250 [Вт];
Двигатель вентилятора: 200 [Вт];
Номинальная потребляемая мощность: 1.1 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 67-68 [Дб];
Вес горелки: 14 [кг]";FBR_G_X3.22_4.22_5.22.jpg;2227;FBR;80;236;Дизель;;;;;;1;1567;5;10;15;
Горелка ж/т FBR G X5.22 TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 9/12-30 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 92/122-306 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 107/142-355 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 25 [кг]";FBR_G_X3.22_4.22_5.22.jpg;2645;FBR;107;355;Дизель;;;;;;1;1615;5;10;15;
Горелка ж/т FBR G X5.22 TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход мин. 1ст ст. / мин. 2 ст. - макс. 2 ст.: 9/12-30 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 92/122-306 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 107/142-355 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 25 [кг]";FBR_G_X3.22_4.22_5.22.jpg;2727;FBR;107;355;Дизель;;;;;;1;1616;5;10;15;
Горелка ж/т FBR G X4/2 TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход 1ст. / мин. 2ст. - макс. 2ст.: 8/12-25 [кг/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 82/122-255 [Мкал/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 95/142-296 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 300 [Вт];
Двигатель вентилятора: 250 [Вт];
Номинальная потребляемая мощность: 1.6 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 68-69 [Дб];
Вес горелки: 15.5 [кг]";FBR_G_X_4_2.jpg;2231;FBR;95;296;Дизель;;;;;;1;1628;5;10;15;
Горелка ж/т FBR G X4/2 TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход 1ст. / мин. 2ст. - макс. 2ст.: 8/12-25 [кг/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 82/122-255 [Мкал/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 95/142-296 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 300 [Вт];
Двигатель вентилятора: 250 [Вт];
Номинальная потребляемая мощность: 1.6 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 68-69 [Дб];
Вес горелки: 15.5 [кг]";FBR_G_X_4_2.jpg;2314;FBR;95;296;Дизель;;;;;;1;1629;5;10;15;
Горелка ж/т FBR G X5/2 TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход 1ст. / мин. 2ст. - макс. 2ст.: 8.5/15-35 [кг/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 87/153-357 [Мкал/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 101/178-415 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 25 [кг]";FBR_G_X_5_2.jpg;2760;FBR;101;415;Дизель;;;;;;1;1617;5;10;15;
Горелка ж/т FBR G X5/2 TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;"Расход 1ст. / мин. 2ст. - макс. 2ст.: 8.5/15-35 [кг/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 87/153-357 [Мкал/ч];
Мощность 1ст. / мин. 2ст. - макс. 2ст.: 101/178-415 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 600 [Вт];
Двигатель вентилятора: 450 [Вт];
Номинальная потребляемая мощность: 2.7 [A];
Напряжение питания:  1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума мин. - макс.: 71-72 [Дб];
Вес горелки: 25 [кг]";FBR_G_X_5_2.jpg;2843;FBR;101;415;Дизель;;;;;;1;1618;5;10;15;
Горелка ж/т FBR FGP 100/2 TC EVO;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;FGP 75.2, FGP 100.2.pdf;"Расход мин. 1ст. / мин. 2ст. - макс. 2ст.: 20.5/40-100 [кг/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 208.5/407.5-1020 [Мкал/ч];
Мощность мин. 1ст. / мин. 2ст. - макс. 2ст.: 243/474-1186 [кВт];
Топливо:  ДИЗЕЛЬНОЕ 1.5°E при 20°C = 6.2 cSt = 35 сек. Redwood N°1;
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения:  -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Номинальная электрическая мощность: 2.4 [кВт];
Двигатель вентилятора: 2.2 [кВт];
Номинальная потребляемая мощность: 5.4 [A];
Дополнительная номинальная потребляемая мощность:  [A];
Напряжение питания:  3~400V, 1N~230V - 50Hz;
Уровень электрозащиты:  IP40;
Уровень шума: 81-82 [Дб];
Вес горелки: 63 [кг]";FBR_FGP_70_100_2.jpg;6919;FBR;243;1186;Мазут;;;;;;1;1701;5;10;15;
